iter	RMSE
0	14.19718405
1	13.31344303
2	12.48083643
3	11.85375043
4	11.23559862
5	10.75040044
6	10.24383171
7	9.807086833
8	9.358110143
9	8.910211857
10	8.548440111
11	8.185058099
12	7.884016031
13	7.583601869
14	7.393030349
15	7.210546029
16	7.039741155
17	6.857678695
18	6.706573833
19	6.559941389
20	6.413606999
21	6.292895002
22	6.189353855
23	6.113476988
24	6.02339222
25	5.946871218
26	5.867636923
27	5.817370718
28	5.766548604
29	5.714427751
30	5.676808553
31	5.630957181
32	5.59428416
33	5.565037693
34	5.534947922
35	5.515556117
36	5.488929952
37	5.457776286
38	5.439529474
39	5.416291923
40	5.400228575
41	5.378569935
42	5.358987377
43	5.340392842
44	5.321426718
45	5.313349049
46	5.297943496
47	5.278969671
48	5.25957135
49	5.248557783
50	5.235359494
51	5.232140456
52	5.219178819
53	5.20043741
54	5.187037094
55	5.176705993
56	5.167218091
57	5.153372232
58	5.139747182
59	5.126564376
60	5.116239178
61	5.10253922
62	5.089347068
63	5.086515997
64	5.079596583
65	5.066200698
66	5.054669974
67	5.04640833
68	5.027780698
69	5.018078419
70	5.007957152
71	4.995897053
72	4.981263739
73	4.965001812
74	4.956735744
75	4.950228546
76	4.93973626
77	4.934687486
78	4.921822801
79	4.913559992
80	4.89526263
81	4.890407926
82	4.878094653
83	4.86701014
84	4.856211728
85	4.847401001
86	4.84535977
87	4.832046194
88	4.822007121
89	4.808309086
90	4.798580835
91	4.789054099
92	4.770627679
93	4.753395677
94	4.750072523
95	4.740423915
96	4.736334259
97	4.719275944
98	4.71267805
99	4.708595244
