iter	Passed	Remaining
0	1	182
1	3	169
2	5	162
3	6	156
4	8	159
5	10	162
6	12	163
7	15	180
8	17	181
9	19	176
10	21	171
11	22	164
12	23	158
13	24	153
14	26	147
15	27	143
16	29	143
17	30	137
18	30	131
19	31	126
20	32	121
21	33	117
22	33	113
23	34	109
24	35	106
25	36	103
26	37	100
27	38	98
28	38	95
29	39	92
30	40	90
31	41	88
32	43	87
33	44	85
34	44	83
35	45	80
36	46	78
37	46	76
38	47	74
39	48	72
40	49	70
41	49	68
42	50	66
43	51	65
44	51	63
45	52	61
46	52	59
47	53	57
48	54	56
49	55	55
50	56	53
51	56	52
52	58	51
53	58	50
54	59	48
55	60	47
56	60	46
57	61	44
58	62	43
59	63	42
60	63	40
61	64	39
62	65	38
63	65	36
64	66	35
65	66	34
66	67	33
67	68	32
68	68	30
69	70	30
70	71	29
71	72	28
72	73	27
73	74	26
74	75	25
75	75	23
76	76	22
77	77	21
78	77	20
79	78	19
80	79	18
81	79	17
82	80	16
83	81	15
84	81	14
85	82	13
86	83	12
87	85	11
88	86	10
89	86	9
90	87	8
91	88	7
92	88	6
93	89	5
94	90	4
95	91	3
96	91	2
97	92	1
98	93	0
99	93	0
