iter	Passed	Remaining
0	208	208020
1	209	104438
2	210	69883
3	211	52578
4	212	42217
5	213	35377
6	215	30502
7	216	26882
8	218	24019
9	219	21698
10	220	19785
11	220	18193
12	221	16847
13	222	15700
14	224	14712
15	225	13859
16	226	13108
17	229	12540
18	231	11959
19	232	11409
20	233	10907
21	235	10473
22	236	10046
23	237	9653
24	238	9292
25	239	8958
26	242	8731
27	245	8520
28	247	8274
29	248	8035
30	249	7798
31	250	7574
32	251	7364
33	252	7174
34	253	6995
35	257	6900
36	260	6791
37	262	6636
38	263	6489
39	264	6359
40	266	6222
41	266	6086
42	267	5957
43	268	5836
44	270	5748
45	272	5644
46	273	5535
47	273	5431
48	275	5340
49	276	5255
50	277	5171
51	279	5096
52	287	5144
53	289	5065
54	291	5011
55	293	4944
56	294	4877
57	296	4814
58	297	4746
59	299	4686
60	300	4619
61	300	4552
62	301	4488
63	302	4426
64	305	4392
65	306	4332
66	306	4274
67	307	4220
68	309	4176
69	311	4144
70	313	4103
71	314	4053
72	315	4003
73	316	3955
74	318	3931
75	319	3886
76	320	3842
77	321	3799
78	322	3761
79	324	3730
80	326	3701
81	327	3667
82	328	3628
83	329	3590
84	330	3556
85	331	3521
86	332	3486
87	333	3454
88	334	3421
89	335	3389
90	336	3356
91	337	3327
92	339	3311
93	341	3289
94	342	3259
95	342	3229
96	343	3200
97	345	3177
98	345	3148
99	346	3120
100	347	3092
101	348	3064
102	348	3037
103	349	3010
104	350	2984
105	351	2961
106	352	2939
107	353	2920
108	354	2900
109	355	2878
110	357	2859
111	357	2837
112	358	2816
113	359	2796
114	360	2775
115	361	2753
116	361	2730
117	362	2712
118	363	2693
119	364	2673
120	365	2657
121	366	2640
122	368	2626
123	369	2609
124	370	2592
125	371	2575
126	372	2557
127	372	2540
128	374	2525
129	375	2510
130	376	2495
131	377	2481
132	378	2465
133	379	2455
134	382	2449
135	383	2434
136	384	2419
137	384	2404
138	385	2390
139	387	2377
140	387	2362
141	388	2345
142	388	2330
143	389	2315
144	390	2301
145	391	2287
146	391	2274
147	392	2261
148	394	2250
149	395	2239
150	396	2229
151	397	2216
152	398	2204
153	399	2192
154	399	2179
155	400	2167
156	401	2154
157	402	2142
158	402	2130
159	403	2117
160	403	2104
161	404	2092
162	405	2080
163	405	2069
164	406	2057
165	407	2049
166	408	2039
167	409	2029
168	410	2018
169	411	2008
170	412	1997
171	412	1986
172	413	1976
173	414	1966
174	414	1955
175	415	1945
176	416	1935
177	417	1925
178	417	1915
179	418	1906
180	419	1896
181	419	1887
182	420	1878
183	421	1870
184	422	1863
185	424	1856
186	425	1848
187	425	1839
188	426	1831
189	427	1823
190	428	1814
191	429	1805
192	429	1796
193	430	1787
194	431	1779
195	431	1771
196	432	1762
197	433	1754
198	433	1746
199	434	1738
200	435	1731
201	436	1726
202	438	1719
203	438	1711
204	439	1703
205	439	1695
206	440	1688
207	441	1680
208	441	1672
209	442	1665
210	443	1657
211	444	1650
212	444	1643
213	445	1636
214	446	1629
215	446	1622
216	447	1615
217	448	1608
218	449	1602
219	450	1597
220	451	1590
221	452	1584
222	452	1577
223	453	1571
224	454	1564
225	455	1558
226	455	1552
227	456	1546
228	457	1539
229	458	1533
230	458	1527
231	459	1522
232	460	1516
233	461	1510
234	462	1504
235	462	1498
236	463	1493
237	465	1489
238	465	1483
239	466	1477
240	467	1471
241	468	1466
242	468	1460
243	469	1454
244	470	1449
245	471	1443
246	471	1437
247	472	1432
248	472	1426
249	473	1420
250	474	1415
251	474	1409
252	475	1404
253	476	1399
254	477	1394
255	478	1391
256	480	1387
257	480	1382
258	481	1377
259	482	1372
260	483	1367
261	483	1362
262	484	1357
263	485	1352
264	485	1347
265	486	1343
266	487	1338
267	488	1333
268	488	1328
269	489	1323
270	490	1318
271	491	1314
272	491	1309
273	492	1304
274	493	1301
275	494	1296
276	494	1291
277	495	1286
278	495	1281
279	496	1276
280	497	1272
281	497	1267
282	498	1262
283	498	1257
284	499	1252
285	499	1247
286	500	1243
287	500	1238
288	501	1233
289	502	1229
290	502	1224
291	503	1220
292	503	1215
293	504	1211
294	505	1207
295	505	1202
296	506	1198
297	506	1193
298	507	1190
299	508	1187
300	509	1182
301	509	1178
302	510	1174
303	511	1170
304	511	1165
305	512	1161
306	512	1157
307	513	1153
308	513	1149
309	514	1144
310	514	1140
311	515	1136
312	515	1132
313	516	1128
314	517	1124
315	517	1120
316	518	1116
317	519	1113
318	519	1109
319	520	1105
320	520	1101
321	521	1097
322	522	1095
323	523	1092
324	524	1089
325	525	1086
326	526	1082
327	526	1078
328	527	1075
329	528	1072
330	528	1068
331	529	1065
332	529	1061
333	530	1057
334	531	1054
335	531	1050
336	532	1047
337	532	1043
338	533	1039
339	533	1036
340	534	1032
341	535	1029
342	535	1025
343	536	1023
344	537	1020
345	538	1017
346	538	1013
347	539	1010
348	539	1007
349	540	1003
350	540	1000
351	541	996
352	542	993
353	542	990
354	543	986
355	543	983
356	544	980
357	544	977
358	545	973
359	545	970
360	546	967
361	547	964
362	547	961
363	548	958
364	548	954
365	549	951
366	550	948
367	550	945
368	551	943
369	552	940
370	553	937
371	554	935
372	554	932
373	555	929
374	556	926
375	556	923
376	557	920
377	557	917
378	558	914
379	558	911
380	559	908
381	559	905
382	560	902
383	561	900
384	561	897
385	562	894
386	562	891
387	563	888
388	563	885
389	564	882
390	565	880
391	565	877
392	566	875
393	567	873
394	568	870
395	568	867
396	569	865
397	570	862
398	570	859
399	571	856
400	571	854
401	572	851
402	572	848
403	573	845
404	573	843
405	574	840
